"Diện tích sàn xây dựng nhà tự xây, tự ở hoàn thành trong năm của hộ dân cư phân theo địa phương chia theo Tỉnh, thành phố và Năm"

" ";"2010";"2013";"2014";"2015";"2016"
"TỔNG SỐ";70814;80646;84036;88620;94145
"Đồng bằng sông Hồng";17157;19714;20452;20402;23890
"Hà Nội";6252;6014;5857;5736;7186
"Vĩnh Phúc";452;763;1290;1343;1132
"Bắc Ninh";1586;1937;1990;2333;2147
"Quảng Ninh";1381;1485;1457;1332;1415
"Hải Dương";728;1288;1436;1764;2759
"Hải Phòng";1025;1425;1428;1323;1651
"Hưng Yên";1375;1318;1532;1708;1905
"Thái Bình";1355;2028;2115;1127;1795
"Hà Nam";350;611;889;909;752
"Nam Định";1428;1432;1458;1700;1837
"Ninh Bình";1225;1413;1000;1127;1311
"Trung du và miền núi phía Bắc";10940;12198;12475;14132;14006
"Hà Giang";381;529;534;548;614
"Cao Bằng";662;614;683;725;600
"Bắc Kạn";347;182;234;290;341
"Tuyên Quang";1151;1077;988;1056;983
"Lào Cai";248;483;598;678;879
"Yên Bái";793;769;742;775;750
"Thái Nguyên";2296;1424;1495;1658;1663
"Lạng Sơn";887;1055;998;1109;993
"Bắc Giang";1974;2467;2558;3277;3467
"Phú Thọ";753;983;1132;1370;1109
"Điện Biên";467;513;461;497;446
"Lai Châu";225;257;309;389;372
"Sơn La";372;989;1069;1012;1012
"Hoà Bình";384;856;674;748;777
"Bắc Trung Bộ và duyên hải miền Trung";15995;17137;18359;18986;19478
"Thanh Hoá";2829;4118;4243;4768;4873
"Nghệ An";3064;3320;3818;3356;3608
"Hà Tĩnh";1018;1388;1269;1156;1299
"Quảng Bình";754;821;863;1135;1130
"Quảng Trị";827;699;725;821;773
"Thừa Thiên - Huế";980;856;580;649;720
"Đà Nẵng";657;736;751;810;691
"Quảng Nam";349;278;300;264;96
"Quảng Ngãi";1367;779;952;1142;1331
"Bình Định";1321;1563;1712;1799;1922
"Phú Yên";948;798;831;847;973
"Khánh Hoà";1013;629;969;1051;656
"Ninh Thuận";555;508;536;552;603
"Bình Thuận";313;644;810;636;803
"Tây Nguyên";3292;5552;5858;6023;5750
"Kon Tum";294;428;499;536;522
"Gia Lai";858;1434;1589;1440;1485
"Đắk Lắk";574;1858;1677;1857;1386
"Đắk Nông";586;533;572;608;628
"Lâm Đồng";980;1299;1521;1582;1729
"Đông Nam Bộ";7812;9616;9061;10672;11515
"Bình Phước";1210;1819;1583;1768;1784
"Tây Ninh";1964;1721;1295;1391;1378
"Bình Dương";437;719;1212;1525;1582
"Đồng Nai";2023;2417;1988;2363;2535
"Bà Rịa - Vũng Tàu";76;938;1077;1039;1253
"TP. Hồ Chí Minh";2102;2002;1906;2586;2983
"Đồng bằng sông Cửu Long";15618;16429;17831;18405;19506
"Long An";2074;2819;2211;2244;2129
"Tiền Giang";1436;1126;1337;1145;1280
"Bến Tre";450;502;525;709;654
"Trà Vinh";1319;901;957;1245;1379
"Vĩnh Long";1105;1160;1133;1228;1338
"Đồng Tháp";981;1450;1818;1953;2040
"An Giang";1279;1197;1364;1424;1356
"Kiên Giang";1537;2086;2358;2613;2797
"Cần Thơ";1488;972;1071;1431;1240
"Hậu Giang";888;978;987;960;1053
"Sóc Trăng";1417;1471;1912;1426;1708
"Bạc Liêu";822;687;679;381;635
"Cà Mau";822;1080;1479;1646;1897

